class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
12603,7707779,Al4 H148 C116,AlC29H37,"Al,C,H",P-1,2
12604,1528081,Ga1.25 Fe3.18 Sb0.75,Fe3.18Ga1.25Sb0.75,"Fe,Ga,Sb",P6_3/mmc,194
12605,1524746,Ga2 Cu2 Te4,CuGaTe2,"Cu,Ga,Te",Fm-3m,225
12606,1531373,Mn39 Ga39,GaMn,"Ga,Mn",R-3m,166
12607,1524100,Nb2 In2 O8,InNbO4,"In,Nb,O",P2/c,13
12608,1536496,Ba6 Mg11 F34,Ba6F34Mg11,"Ba,F,Mg",P-1,2
12609,7221174,Sn4 Rh4,RhSn,"Rh,Sn",P2_13,198
12610,4113822,Ir4 C108 N24,C27IrN6,"C,Ir,N",P2_1/c,14
12611,1524180,Re4 Cl8 O9,Cl8O9Re4,"Cl,O,Re",P-1,2
12612,1526641,Al24 P24 O96,AlO4P,"Al,O,P",Pbca,61
12613,1525356,Bi24 N24 O108,Bi2N2O9,"Bi,N,O",P2_1/c,14
12614,1522255,Ca1 As4 Rh6,As4CaRh6,"As,Ca,Rh",P-6m2,187
12615,1521958,Ce20 Si10.188 Rh1.812,Ce20Rh1.812Si10.188,"Ce,Rh,Si",I4/mcm,140
12616,1523868,Yb1 Hg1,HgYb,"Hg,Yb",Pm-3m,221
12617,8104319,Ga4 Hg2 S8,Ga2HgS4,"Ga,Hg,S",I-4,82
12618,2201752,Pr4 Mo30.488 O56,Mo30.488O56Pr4,"Mo,O,Pr",Aea2,41
12619,1532437,La10 Sn6 Cl2,ClLa5Sn3,"Cl,La,Sn",P6_3/mcm,193
12620,1541521,Mn16.8 Sn7.2 O32,Mn16.8O32Sn7.2,"Mn,O,Sn",Fd-3m,227
12621,1531546,Er4 Mn8 O20,ErMn2O5,"Er,Mn,O",Pbam,55
12622,4343093,Sn4 H146 C154,C77H73Sn2,"C,H,Sn",P-1,2
12623,1509735,Cd1.6 Ag2.4,Ag2.4Cd1.6,"Ag,Cd",Fm-3m,225
12624,1522410,U16 Ga16,GaU,"Ga,U",Cmcm,63
12625,2106359,Na16 Se8 O32,Na2O4Se,"Na,O,Se",Fddd,70
12626,1536115,Cu16.56 Te16 I16,Cu16.56I16Te16,"Cu,I,Te",I4_1/amd,141
12627,1538469,Cu4 Br8 N24,Br2CuN6,"Br,Cu,N",Fm-3m,225
12628,1523291,U2 Mn8 Al16,Al8Mn4U,"Al,Mn,U",I4/mmm,139
12629,1530824,V3.6 Cr8.4 C5.76,C5.76Cr8.4V3.6,"C,Cr,V",Cmcm,63
12630,1509728,Yb6 Ag4,Ag2Yb3,"Ag,Yb",P4/mbm,127
12631,1528256,Te4 Ru2,RuTe2,"Ru,Te",Pnnm,58
12632,4338113,Al2 C16 O10,AlC8O5,"Al,C,O",P-1,2
12633,4342058,Sr4 P8 Pt24,P2Pt6Sr,"P,Pt,Sr",Pa-3,205
12634,1008322,K1.3332 Mn8 O16,K1.3332Mn8O16,"K,Mn,O",I4/m,87
12635,1528523,Eu8 Cl4 O26.4,Cl4Eu8O26.4,"Cl,Eu,O",P2_12_12,18
12636,1528430,Ho1 Cu1 Se2,CuHoSe2,"Cu,Ho,Se",P-3m1,164
12637,1525473,Cr1 Co1 Pt2,CoCrPt2,"Co,Cr,Pt",P4/mmm,123
12638,2310380,Ni3 Cl6,Cl2Ni,"Cl,Ni",R-3m,166
12639,9011547,Cu4 O8,CuO2,"Cu,O",Cmcm,63
12640,1515058,Zn8 C318 O48,C159O24Zn4,"C,O,Zn",P2_1,4
12641,4511982,Sm6 P6 O24,O4PSm,"O,P,Sm",C2,5
12642,1534190,Zr4 Tl4 F20,F5TlZr,"F,Tl,Zr",P2_1/c,14
12643,1000141,Li4 Sb4 O12,LiO3Sb,"Li,O,Sb",Pnna,52
12644,4002774,Sr4 Si10 N16,N8Si5Sr2,"N,Si,Sr",Pmn2_1,31
12645,1533881,V8 C4,CV2,"C,V",Pbcn,60
12646,4303250,Yb5.34 Ga17.812,Ga17.812Yb5.34,"Ga,Yb",Immm,71
12647,9008650,K4 Br4,BrK,"Br,K",Fm-3m,225
12648,7221245,Tl8 Pb2 I12,I6PbTl4,"I,Pb,Tl",Pbam,55
12649,1526238,La3.712 Mn4 O12,La3.712Mn4O12,"La,Mn,O",Pnma,62
12650,1562898,Ba6 Zn1.96 Hg20.04,Ba6Hg20.04Zn1.96,"Ba,Hg,Zn",Pmmn,59
12651,4086624,Zr4 H216 C200,C50H54Zr,"C,H,Zr",P-1,2
12652,4031608,Ba22 Ti56 O132.96,Ba22O132.96Ti56,"Ba,O,Ti",C2/m,12
12653,1527375,Ba9.92 Ga12,Ba9.92Ga12,"Ba,Ga",P-6c2,188
12654,1537376,Zn2 In4 Se8,In2Se4Zn,"In,Se,Zn",I-4,82
12655,1542171,Eu2 Br2 O2,BrEuO,"Br,Eu,O",P4/nmm,129
12656,1509789,Dy4 In4 Ag8,Ag2DyIn,"Ag,Dy,In",Fm-3m,225
12657,1540139,Ba4 Cd4 S8,BaCdS2,"Ba,Cd,S",Pnma,62
12658,1509860,Y0.08 Ag3.92,Ag3.92Y0.08,"Ag,Y",Fm-3m,225
12659,1510346,Sm2 Ga6.5 Au1.5,Au1.5Ga6.5Sm2,"Au,Ga,Sm",I4/mmm,139
12660,1506218,Fe4 H52 C68,C17FeH13,"C,Fe,H",P2_1/c,14
12661,1537892,V20 S32,S8V5,"S,V",C2/m,12
12662,1529101,Zr3.144 Sc0.856 O7.576,O7.576Sc0.856Zr3.144,"O,Sc,Zr",Fm-3m,225
